Question,Answer,Cerita
 Apa mata pencaharian keluarga di Desa Durin Tani?,Bertani.,Batu Umang
 Apa permintaan ibu kepada bapak?,Ikan.,Batu Umang
 Siapa yang melanggar perjanjian dengan makhluk halus?,Menantu.,Batu Umang
 Siapa yang bermimpi bertemu dengan makhluk halus?,Bapak.,Batu Umang
 Di mana keluarga ini tinggal?,Durin Tani.,Batu Umang
 Kapan batu besar muncul di ladang bapak?,1790.,Batu Umang
 Kapan batu besar berhenti berpindah tempat?,1880.,Batu Umang
Apa mata pencaharian utama Pak Belimbingen?,Bertani.,Dua Pencuri
Apa isi goni yang diambil pencuri?,Jenazah.,Dua Pencuri
Siapa yang mengambil goni dari gubug?,Pencuri.,Dua Pencuri
Siapa yang akhirnya menguburkan jenazah Pak Belimbingen?,Pencuri.,Dua Pencuri
Di mana Pak Belimbingen dan istrinya tinggal?,Gubug.,Dua Pencuri
Kapan pencuri mengambil goni dari gubug?,Malam hari.,Dua Pencuri
Siapa yang mereka cari?,Guru Diden.,Guru Diden
Di mana Guru Diden tinggal?,Desa Raja Tengah.,Guru Diden
Apa yang diminta oleh Guru Pakpak Pitu Sedalanen setelah hujan turun?,Nasi tujuh periuk.,Guru Diden
Apa yang muncul setelah air memancar dari lobang tanah?,Tujuh mata air.,Guru Diden
Di mana Guru Kandibata tinggal?,Kandibata,Guru Petawer Rame
Apa yang diminta Raja Alas?,Mengobati penyakit cacar.,Guru Petawer Rame
Siapa yang mendengar tangisan roh kedua anak tersebut?,Keramat Nini Deleng (Gunung Sibayak).,Guru Petawer Rame
Apa yang ditemukan saat Guru Kandibata kembali ke kampung?,Makam kosong,Guru Petawer Rame
Ke mana roh anakanak Guru Kandibata pergi?,Bersembunyi di Gunung Sibayak,Guru Petawer Rame
Siapa yang pertama kali ditemui oleh anak kucing?,Matahari.,Kucing Mbiring
Siapa yang ditemui pertama oleh anak kucing?,Matahari,Kucing Mbiring
Apa yang diminta anak kucing kepada Matahari?,Menjadi ibunya.,Kucing Mbiring
Siapa yang kedua kali ditemui oleh anak kucing?,Awan.,Kucing Mbiring
Siapa yang ditemui kedua oleh anak kucing?,Awan,Kucing Mbiring
Siapa yang ketiga kali ditemui oleh anak kucing?,Angin.,Kucing Mbiring
Siapa yang ditemui ketiga oleh anak kucing?,Angin,Kucing Mbiring
Siapa yang keempat kali ditemui oleh anak kucing?,Gunung.,Kucing Mbiring
Siapa yang ditemui ke empat oleh anak kucing?,Gunung,Kucing Mbiring
Siapa yang kelima kali ditemui oleh anak kucing?,Tikus,Kucing Mbiring
Siapa yang ditemui kelima oleh anak kucing?,Tikus.,Kucing Mbiring
Apa yang dilakukan oleh ayah dan ibu di pagi hari?,Bekerja di ladang menyiangi rumput.,Batu Renggang
Siapa yang mendengar ratapan anakanak di hutan?,Anoah Sakti (binatang raksasa).,Batu Renggang
Apa yang dilakukan Anoah Sakti untuk membantu anakanak?,Memberikan buah kayu dan menawarkan bantuan.,Batu Renggang
Siapa tokoh utama dalam cerita ini?,Nenek tua,Tangkau Bunga
Dimana nenek tinggal?,Dekat Hutan,Tangkau Bunga
Apa yang nenek tanam di tamannya?,Berbagai tanaman,Tangkau Bunga
Apa yang nenek temui dikebunnya?,Bunga,Tangkau Bunga
 Apa nama desa dalam cerita ini?,Desa Kawar.,Lau Kawar
 Apa pekerjaan mayoritas penduduk Desa Kawar?,Bertani.,Lau Kawar
 Apa yang dilakukan masyarakat saat musim panen?,Merayakan pesta Mejuah-juah.,Lau Kawar
 Siapa yang merasa kesepian dalam cerita ini?,Nenek yang sakit lumpuh.,Lau Kawar
 Mengapa nenek merasa sedih?,Karena tidak bisa ikut berpesta.,Lau Kawar
 Apa yang dilakukan Tongat untuk nenek?,Membawakan makanan sisa dari pesta.,Lau Kawar
 Bagaimana perasaan nenek menerima makanan sisa?,Nenek merasa terluka dan marah.,Lau Kawar
 Apa yang terjadi setelah nenek menyumpahi keluarganya?,Hujan lebat dan gempa bumi,Lau Kawar
 Apa yang terjadi pada Desa Kawar setelah hujan?,Desa tenggelam,Lau Kawar
Pelajaran apa yang bisa diambil dari cerita ini?,Menghargai orang tua dan tidak durhaka pada mereka.,Lau Kawar
Dimana cerita tersebut terjadi?,Desa Sugihen,Sidah Ginting
Siapa yang ditemukan sugih di hutan?,Seorang Putri,Sidah Ginting
Dimana Tiga Bembem berada?,"Tiga Bembem berada di Desa Singa Manik, Kecamatan Munte.",Sidah Ginting
Di mana bayi yang dianggap pembawa sial dilahirkan?,Liang Melas,Pawang Ternalem
Dimana bayi itu dilahirkan?,Liang Melas,Pawang Ternalem
Siapa yang membesarkan bayi itu?,Babi babi,Pawang Ternalem
Siapa yang menemani bayi itu ke daerah Langkat?,Perlanja sira,Pawang Ternalem
Siapa yang menolong anak itu dihutan?,Datuk Rubia Gande,Pawang Ternalem
Siapa nama anak itu?,Pawang Ternalem,Pawang Ternalem
Siapa yang dinikahi pawing ternalem?,Beru Patimar,Pawang Ternalem
Di mana raja yang terkenal dan terhormat itu tinggal?,"Raja itu tinggal di Desa Barus Jahe,",Beru Rangga Kuning
Siapa yang menjadi ahli waris raja setelah kematiannya?,Anakanaknya,Beru Rangga Kuning
Kemana Naktaki pergi setelah diusir dari kampung?,Tanah Singkel di Aceh.,Beru Rangga Kuning
Apa yang terjadi pada Beru Rengga Kuning di akhir cerita?,menikahi anak Raja Singkel,Beru Rangga Kuning
Dimana kerajaan yang dipimpin raja itu?,Tanah Karo,Beru Dayang
Mengapa terjadi kelaparan?,Karena kemarau panjang,Beru Dayang
Apa simbol beru dayang?,Tanaman padi,Beru Dayang
Apa simbol ibu beru dayang?,Ikan di sungai,Beru Dayang
Siapa yang merawat Si Jinaka setelah orang tuanya meninggal?,Pamannya.,Si Jinaka
Mengapa Si Jinaka dianggap bodoh?,Karena salah mengerti perintah pamannya.,Si Jinaka
Apa pesan moral dari cerita ini?,Pentingnya memahami perintah dan akibat dari setiap tindakan.,Si Jinaka
Bagaimana sifat si jinaka dalam cerita ini?,Cerdik,Si Jinaka
Apa akibat perbuatan jinaka terhadap pamannya?,Pamannya menghukumnya,Si Jinaka
Siapa yang melahirkan Tuan Bagunda Raja?,"Inang Seribu Tua, putri khayangan.",Bagunda Raja
Siapa yang dipilih untuk menjadi istri Tuan Bagunda Raja?,Putri pamannya,Bagunda Raja
Siapa anak pertama Tuan Bagunda Raja dan apa jabatannya?,Tuan Paduka Aji,Bagunda Raja
Siapa anak kedua Tuan Bagunda Raja dan apa jabatannya?,Tuan Banua Koling,Bagunda Raja
Siapa anak perempuan yang lahir di khayangan?,Dibata kaci kaci,Bagunda Raja
Apa yang terjadi dengan tujuh anak Tuan Banua Koling yang dibunuh?,Mereka menjelma menjadi tujuh matahari dan tujuh bulan.,Bagunda Raja
Di mana Pak Belimbingen tinggal?,Tempat terpencil,Dua Pencuri
Siapa yang tinggal bersama Pak Belimbingen?,Istrinya,Dua Pencuri
Apa yang mereka tanam di ladang?,Padi dan jagung,Dua Pencuri
Apa lagi yang ditanam di ladang?,Ubi dan sayur-sayuran,Dua Pencuri
Di mana gubuk Pak Belimbingen berada?,Dekat ladang,Dua Pencuri
Apa yang dilakukan Pak Belimbingen selain bertani?,Berburu,Dua Pencuri
Apa yang dilakukan istrinya saat Pak Belimbingen sakit?,Mengambil daun obat,Dua Pencuri
Bagaimana cara mengolah daun obat?,Ditumbuk,Dua Pencuri
Apa yang diminum Pak Belimbingen dari daun obat?,Air perasan,Dua Pencuri
Apa gejala yang dialami Pak Belimbingen?,Panas badan,Dua Pencuri
Apa yang dilakukan istri Pak Belimbingen ketika suaminya meninggal?,Memasukkan jenazah ke goni,Dua Pencuri
Apa yang dikatakan istri Pak Belimbingen tentang isi goni?,Emas batangan,Dua Pencuri
Siapa yang mendengar ucapan istri Pak Belimbingen?,Dua pencuri,Dua Pencuri
Apa yang dilakukan pencuri pada malam hari?,Mengambil goni,Dua Pencuri
Apa yang ditemukan pencuri di dalam goni?,Jenazah,Dua Pencuri
Apa reaksi pencuri saat melihat isi goni?,Terkejut,Dua Pencuri
Apa keputusan pencuri setelah menemukan jenazah?,Bertobat,Dua Pencuri
Apa yang dilakukan pencuri terhadap jenazah?,Menguburkan,Dua Pencuri
Apa yang dianggap pencuri tentang kejadian ini?,Peringatan Tuhan,Dua Pencuri
Apa yang tidak dilakukan pencuri lagi setelah kejadian?,Mencuri,Dua Pencuri
